Date,Open,High,Low,Close,Volume,Market Cap
12-12-2017,0.010607,0.010876,0.007223,0.00725,54,66229
12-12-2017,1.61,1.83,1.58,1.7,18138,862423
13-12-2017,0.006046,0.007469,0.005269,0.006571,6733,527697
13-12-2017,0.007256,0.008164,0.006374,0.006571,97,45305
13-12-2017,1.7,2.12,1.58,1.73,47127,909944
14-12-2017,0.006713,0.011102,0.006496,0.010766,12893,586201
14-12-2017,0.00655,0.009725,0.006476,0.009606,2,40898
14-12-2017,1.73,1.96,1.71,1.79,5731,925921
15-12-2017,0.010782,0.012652,0.008481,0.010573,8250,941759
15-12-2017,0.009621,0.010729,0.009619,0.010573,125,60071
15-12-2017,1.79,2.64,1.72,1.85,54326,959428
16-12-2017,0.010588,0.011826,0.007534,0.009153,4548,925397
16-12-2017,0.010588,0.011777,0.008414,0.011685,45,66111
16-12-2017,1.85,2.06,1.79,1.99,15512,993739
17-12-2017,0.009154,0.012612,0.006444,0.006475,3286,800451
17-12-2017,0.011686,0.012207,0.011454,0.011826,60,72966
17-12-2017,1.99,2.13,1.89,1.91,9922,1065310
18-12-2017,0.006684,0.0127,0.006386,0.008864,3732,584796
18-12-2017,0.011862,0.011862,0.008689,0.008985,8,74063
18-12-2017,1.92,2.02,1.83,1.9,24478,1028110
19-12-2017,0.008871,0.011613,0.005568,0.005996,2702,776515
19-12-2017,0.008993,0.011262,0.007242,0.007584,983,56149
19-12-2017,1.9,1.95,1.64,1.76,8950,1018100
20-12-2017,0.00599,0.00892,0.005369,0.005754,3183,524609
20-12-2017,0.007576,0.010885,0.006897,0.010851,212,47304
20-12-2017,1.76,1.76,1.32,1.37,12911,944910
21-12-2017,0.005769,0.009715,0.005737,0.006675,6293,505515
21-12-2017,0.010879,0.011475,0.006665,0.010491,262,67926
21-12-2017,1.38,1.71,1.31,1.49,19673,738681
22-12-2017,0.006698,0.006764,0.005316,0.005599,281,587070
22-12-2017,0.010528,0.010631,0.007669,0.009289,45,65734
22-12-2017,1.49,2.76,1.02,1.51,111434,800570
23-12-2017,0.005652,0.006848,0.005609,0.005634,550,495403
23-12-2017,0.009377,0.010647,0.009245,0.010265,49,58548
23-12-2017,1.52,2.29,1.5,1.73,11379,815136
24-12-2017,0.005697,0.005697,0.00421,0.004645,473,499316
24-12-2017,0.009034,0.010395,0.008797,0.009899,241,56404
24-12-2017,1.75,2.12,1.3,1.67,32548,940419
25-12-2017,0.004694,0.005299,0.004053,0.005269,48,411402
25-12-2017,0.010002,0.010293,0.009419,0.009783,23,62449
25-12-2017,1.69,1.96,1.59,1.87,8864,906594
26-12-2017,0.005422,0.006617,0.005141,0.006014,633,475280
26-12-2017,0.010784,0.011298,0.010318,0.010445,14,67331
26-12-2017,1.87,2.55,1.62,2.07,32355,1003970
27-12-2017,0.006018,0.006458,0.0053,0.005597,97,527501
27-12-2017,0.010452,0.010929,0.009716,0.009952,6,65263
27-12-2017,2.07,2.52,1.8,2.21,27721,1108580
28-12-2017,0.005586,0.006077,0.004665,0.004725,909,489606
28-12-2017,0.012153,0.01267,0.007076,0.007303,61,75881
28-12-2017,2.2,2.21,1.7,1.86,13403,1181550
29-12-2017,0.004774,0.005474,0.004716,0.005377,181,418481
29-12-2017,0.007378,0.012481,0.007205,0.012353,10,46070
29-12-2017,1.88,2.26,1.86,1.92,27462,1008760
30-12-2017,0.005363,0.005365,0.004382,0.004756,482,470122
30-12-2017,0.012321,0.012325,0.007669,0.008098,149,76933
